,City,City_id,Cloudiness,Country,Humidity,Latitude,Temparature (Celsius),Windspeed
342,Lodwar,189280,48,KE,84,3.12,294.828,2.33
343,Moires,256842,20,GR,87,35.05,284.15,2.6
344,Shorko,1164987,36,PK,99,31.91,287.828,1.53
345,Canas,3624468,20,CR,36,10.43,306.15,6.7
346,Kassiopi,2463701,75,GR,62,39.79,286.15,6.7
347,Tonstad,3134327,0,NO,44,58.67,266.15,2.6
348,Santiago,1687827,20,PH,88,10.59,298.15,2.6
349,Issoudun,3012655,0,FR,81,46.95,279.15,4.1
350,Gabu,2372532,0,GW,43,12.28,301.703,2.68
351,Villamor,1679879,0,PH,100,6.7,295.328,1.18
352,Schwalbach am Taunus,2835381,0,DE,53,50.15,270.44,7.7
353,Rio Largo,3390288,75,BR,94,-9.48,298.15,4.6
354,Dubna,564723,92,RU,83,54.15,260.653,5.58
355,New Brunswick,5101717,1,US,50,40.49,287.44,3.6
356,Seydi,1218420,0,TM,92,39.42,279.078,3.43
357,Viroflay,2967934,0,FR,59,48.8,274.15,6.7
358,Pyrgetos,255196,68,GR,100,39.58,273.778,0.28
359,Petrovice u Karvine,3068345,8,CZ,61,49.9,264.15,3.1
360,Fuchu,1864154,1,JP,44,35.64,279.95,3.43
361,Port Hueneme,5384339,20,US,51,34.15,287.29,5.1
362,El Reno,4535783,1,US,33,35.53,287.15,5.7
363,Radovanu,669244,76,RO,73,44.2,265.64,1.0
364,Neyshabur,122285,20,IR,98,36.21,276.578,2.38
365,Tlacolula de Matamoros,3515484,5,MX,27,16.95,299.15,1.48
366,Vanino,2119932,88,RU,90,49.06,267.653,8.73
367,Himaya,1711707,8,PH,95,10.45,294.828,1.43
368,Nivala,644499,88,FI,82,63.92,261.078,1.18
369,Rivne,695365,64,UA,78,48.25,261.353,5.58
370,Petrokhorion,734672,90,GR,85,41.12,276.15,2.6
371,Gisenyi,202905,76,RW,100,-1.7,287.953,0.38
372,Galgamacsa,3052417,90,HU,85,47.7,267.15,3.6
373,Barand,722555,64,HU,62,47.3,269.15,1.5
374,Kez,550902,92,RU,81,57.9,261.928,3.93
375,Hostert,2960427,75,LU,39,49.65,271.15,4.6
376,Sagay,1691150,76,PH,95,10.94,298.953,2.88
377,Nawalgarh,1261613,32,IN,69,27.85,291.053,3.03
378,Gemeente Alphen aan den Rijn,2759874,0,NL,49,52.14,270.18,10.3
379,Jafarpur,1348944,0,IN,78,22.32,295.15,3.93
380,Greytown,1000006,92,ZA,98,-29.06,289.903,1.08
381,Birstonas,600443,90,LT,78,54.62,263.15,2.6
382,Sicamous,6147353,75,CA,80,50.83,274.15,0.78
383,Tabaan,1685125,0,PH,94,16.3,292.728,1.33
384,Palagao Norte,1696360,24,PH,97,18.04,293.653,1.23
385,Alagoinha,3408094,76,BR,87,-6.93,297.703,3.68
386,Magura Ilvei,674124,0,RO,68,47.38,253.578,0.88
387,Berat,3186084,92,AL,96,40.71,277.153,1.78
388,Rupnagar,1257951,12,IN,78,30.97,282.978,1.23
389,Pelaya,3672599,0,CO,38,8.69,307.478,1.93
390,Laktasi,3196792,90,BA,92,44.91,267.15,3.1
391,Nitchidorf,672185,90,RO,85,45.58,268.68,3.6
392,Palapag,1696234,0,PH,99,12.55,300.153,4.23
393,Cuilapan de Guerrero,3529915,5,MX,27,17.0,299.15,1.48
394,Skotterud,3138532,0,NO,80,59.95,257.678,1.88
395,Loum,2229152,80,CM,100,4.72,293.928,1.18
396,Fresno,3682330,36,CO,56,5.15,299.028,1.08
397,Harper,2276492,20,LR,94,4.38,301.328,3.73
398,Camiri,3922414,75,BO,65,-20.05,299.15,1.58
399,Moskovskoye,524907,90,RU,92,45.28,271.15,2.0
400,Tecoanapa,3516171,0,MX,58,16.52,302.703,3.58
401,Asahi,6416230,75,JP,64,34.07,277.15,2.1
402,Mironov,526331,92,RU,97,47.33,268.728,3.93
403,Nanyuki,184433,80,KE,95,0.02,285.328,0.63
404,Periyapatti,1259875,0,IN,57,10.75,298.15,1.5
405,Zilupe,453850,76,LV,80,56.38,261.178,5.73
406,Ghiroda,677313,90,RO,85,45.76,268.51,3.6
407,Ikskile,459598,90,LV,67,56.83,267.15,5.1
408,Yukamenskoye,466674,8,RU,78,57.89,259.303,3.08
409,Los Altos,5368335,90,US,87,37.39,285.33,6.2
410,Yablonovskiy,469844,75,RU,86,44.99,271.15,2.0
411,Tiszadada,714782,24,HU,74,48.03,262.153,2.23
412,Beddeng,1725642,20,PH,83,14.98,299.15,1.0
413,Tovacov,3064143,20,CZ,72,49.43,264.63,4.1
414,Tassin-la-Demi-Lune,2973317,90,FR,81,45.75,278.89,3.6
415,Schwabisch Gmund,2835482,0,DE,58,48.8,268.79,4.1
416,Gubbi,1270824,0,IN,55,13.31,290.028,4.08
417,La Sarrosa,3607003,20,HN,43,15.23,306.15,0.88
418,Wilbraham,4955635,90,US,33,42.12,288.01,3.1
419,Lamak,1707857,0,PH,89,10.4,297.928,3.88
420,Patnos,302819,75,TR,86,39.23,276.15,1.5
421,Jrashen,616722,90,AM,86,40.79,272.15,0.33
422,Ixmiquilpan,3526708,12,MX,40,20.48,298.103,3.68
423,Ratzeburg,2850132,0,DE,67,53.7,266.67,6.7
424,Gorbunki,560255,0,RU,84,59.82,258.15,1.0
425,Zwijndrecht,2783081,0,BE,36,51.22,271.82,7.7
426,Assenede,2803026,90,BE,42,51.23,272.16,9.3
427,Tovarkovskiy,481938,92,RU,82,53.64,260.778,5.58
428,Obernai,2989796,90,FR,64,48.46,273.21,4.6
429,Sint-Laureins,2786626,20,BE,62,51.25,272.68,10.3
430,Hosakote,1269947,0,IN,47,14.28,291.603,4.13
431,Cioroiasu,681645,92,RO,78,44.08,265.15,2.6
432,Santana,3450031,0,BR,34,-14.47,303.303,3.88
433,Leiyang,1804208,76,CN,100,26.4,286.728,3.33
434,Leuna,2878350,0,DE,61,51.32,265.15,7.7
435,Chonglan,1677314,75,TW,93,22.9,293.72,3.6
436,Grecesti,676762,92,RO,78,44.45,265.15,2.6
437,Strabychovo,692465,40,UA,72,48.39,264.15,1.18
